date,latitude,longitude,depth,mag,status,locationSource,magSource,is_replica
24105,-3.24,-77.158,51,5,automatic,IGP,IGP,0
24106,-16.691,-71.154,104,6.2,automatic,IGP,IGP,0
24108,-7.91,-74.4,167,5,automatic,IGP,IGP,1
24111,-15.311,-70.831,178,5.4,automatic,IGP,IGP,1
24116,-10.85,-75.71,33,4.9,automatic,IGP,IGP,0
24119,-2.311,-77.044,156,5,automatic,IGP,IGP,0
24120,-8.338,-74.043,160,5.1,automatic,IGP,IGP,0
24124,-11.6,-75.93,104,4.8,automatic,IGP,IGP,0
24125,-3.52,-80.91,56,4.9,automatic,IGP,IGP,0
24126,-17.856,-71.354,54,5.3,automatic,IGP,IGP,1
24127,-14.833,-75.652,40,5,automatic,IGP,IGP,1
24129,-10.34,-74.7,95,4.7,automatic,IGP,IGP,1
24135,-3.6,-81.2,33,4.9,automatic,IGP,IGP,1
24145,-15,-73.9,73,5.3,automatic,IGP,IGP,1
24147,-16.74,-72.5,76,4.9,automatic,IGP,IGP,0
24147,-15.395,-75.349,40,5.8,automatic,IGP,IGP,0
24148,-16.584,-73.732,40,5,automatic,IGP,IGP,1
24152,-13.38,-75.521,101,4.9,automatic,IGP,IGP,1
24158,-9.844,-75.56,39,5.2,automatic,IGP,IGP,0
24161,-15.36,-72.69,123,5.3,automatic,IGP,IGP,0
24164,-3.48,-77.6,33,4.6,automatic,IGP,IGP,1
24165,-15.3,-75.9,22,4.9,automatic,IGP,IGP,0
24165,-15.4,-76,13,4.6,automatic,IGP,IGP,0
24178,-14.4,-73.9,85,4.6,automatic,IGP,IGP,1
24189,-7.382,-74.873,140,5.3,automatic,IGP,IGP,0
24190,-10.2,-79.1,48,4.9,automatic,IGP,IGP,0
24194,-3.979,-80.85,43,5.6,automatic,IGP,IGP,0
24194,-3.986,-80.773,32,5.6,automatic,IGP,IGP,1
24194,-3.9,-80.4,72,4.6,automatic,IGP,IGP,1
24194,-3.682,-80.582,26,4.7,automatic,IGP,IGP,1
24194,-4.164,-81.001,30,4.9,automatic,IGP,IGP,1
24200,-10.47,-79.6,42,5,automatic,IGP,IGP,1
24203,-3.75,-81.78,5,4.6,automatic,IGP,IGP,1
24209,-17.68,-69.64,141,4.7,automatic,IGP,IGP,0
24224,-17.66,-70.71,60,4.9,automatic,IGP,IGP,0
24228,-6.69,-75.76,48,4.9,automatic,IGP,IGP,0
24228,-8.438,-74.222,158,6.8,automatic,IGP,IGP,0
24229,-8.377,-74.178,159,5.1,automatic,IGP,IGP,0
24229,-17.06,-69.63,181,4.6,automatic,IGP,IGP,0
